createdAt;chargeLevelPercent;houseLoadPowerW;batteryVoltageV;dischargingCurrentA
Mon Feb 05 2024 13:43:19 GMT+0000 (Coordinated Universal Time);95;0;53.9;0
Mon Feb 05 2024 13:43:27 GMT+0000 (Coordinated Universal Time);95;0;53.9;0
Mon Feb 05 2024 13:43:32 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:43:40 GMT+0000 (Coordinated Universal Time);95;0;54.2;0
Mon Feb 05 2024 13:43:47 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:43:53 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:44:04 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:44:09 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:44:14 GMT+0000 (Coordinated Universal Time);95;3;53.8;0
Mon Feb 05 2024 13:44:20 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:44:26 GMT+0000 (Coordinated Universal Time);95;0;54.3;0
Mon Feb 05 2024 13:44:32 GMT+0000 (Coordinated Universal Time);95;0;54.3;0
Mon Feb 05 2024 13:44:37 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:44:43 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:44:50 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:44:55 GMT+0000 (Coordinated Universal Time);95;1;54;0
Mon Feb 05 2024 13:45:03 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:45:14 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:45:20 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:45:26 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:45:34 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:45:40 GMT+0000 (Coordinated Universal Time);95;4;54.1;0
Mon Feb 05 2024 13:45:45 GMT+0000 (Coordinated Universal Time);95;0;54;0
Mon Feb 05 2024 13:45:51 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:45:57 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:46:03 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:46:11 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:46:22 GMT+0000 (Coordinated Universal Time);95;0;54.1;0
Mon Feb 05 2024 13:46:27 GMT+0000 (Coordinated Universal Time);95;0;54;0
